
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:10:29 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:10:31 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:10:37 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:10:39 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:10:44 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:10:46 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:10:52 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:10:54 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:10:59 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:11:04 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:11:10 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:11:12 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:11:17 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:11:19 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:11:25 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:11:27 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:11:32 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:11:37 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:11:43 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:11:48 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:11:53 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:11:55 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:12:01 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:12:03 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:12:08 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:12:10 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:12:16 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:12:18 | de = PORTARIA
[OFFLINE] 192.168.0.120 caiu em 27/08/2025 11:12:23 | de = PORTARIA
[ONLINE] 192.168.0.120 voltou em 27/08/2025 11:12:25 | de = PORTARIA
[OFFLINE] 192.168.0.45 caiu em 28/08/2025 08:28:52 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.45 voltou em 28/08/2025 08:30:10 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.1 caiu em 28/08/2025 22:51:51 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.1 voltou em 28/08/2025 22:51:57 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.1 caiu em 28/08/2025 22:52:00 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 28/08/2025 22:52:12 | de = PORTARIA
[OFFLINE] 192.168.0.1 caiu em 28/08/2025 22:56:51 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 28/08/2025 22:56:53 | de = PORTARIA
[OFFLINE] 192.168.0.1 caiu em 28/08/2025 22:57:02 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 28/08/2025 22:56:58 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.1 caiu em 28/08/2025 23:00:27 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.1 caiu em 28/08/2025 23:00:40 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 28/08/2025 23:00:42 | de = PORTARIA
[OFFLINE] 192.168.0.1 caiu em 28/08/2025 23:34:27 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.1 voltou em 28/08/2025 23:34:29 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.1 caiu em 28/08/2025 23:34:54 | de = SRV-BOTANICO02
[ONLINE] 192.168.0.1 voltou em 28/08/2025 23:34:56 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.1 caiu em 28/08/2025 23:39:03 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 28/08/2025 23:39:08 | de = PORTARIA
[OFFLINE] 192.168.0.1 caiu em 28/08/2025 23:39:19 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.1 caiu em 28/08/2025 23:39:30 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 28/08/2025 23:39:32 | de = PORTARIA
[OFFLINE] 192.168.0.1 caiu em 28/08/2025 23:39:42 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 28/08/2025 23:39:44 | de = PORTARIA
[OFFLINE] 192.168.0.1 caiu em 28/08/2025 23:39:59 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 28/08/2025 23:40:01 | de = PORTARIA
[OFFLINE] 192.168.0.1 caiu em 29/08/2025 09:09:14 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.1 caiu em 29/08/2025 09:09:26 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 29/08/2025 09:09:32 | de = PORTARIA
[OFFLINE] 192.168.0.1 caiu em 29/08/2025 09:10:06 | de = SRV-BOTANICO02
[OFFLINE] 192.168.0.1 caiu em 29/08/2025 09:10:24 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 29/08/2025 09:10:28 | de = PORTARIA
[ONLINE] 192.168.0.1 voltou em 29/08/2025 09:42:47 | de = PORTARIA
